liubei	9.78	8.59	7.30	5.66	6.50	7.90	8.59
guanyu	5.73	7.19	7.16	7.50	7.22	7.10	6.73
zhangfei	2.43	2.83	3.54	2.86	3.53	2.72	2.49
zhaoyun	5.07	6.13	6.86	6.45	6.82	7.27	7.17
machao	6.44	7.04	7.32	6.23	7.27	7.13	6.93
zhugeliang	10.67	9.85	9.70	9.40	9.61	9.63	10.12
huangyueying	6.19	6.59	6.28	6.53	5.64	5.07	4.55
huangzhong	6.44	7.27	6.25	5.96	6.14	7.15	7.15
weiyan	5.49	7.13	7.60	7.12	7.58	6.43	6.87
wolong	6.97	7.71	7.73	7.46	7.52	7.35	6.68
pangtong	4.94	6.27	6.84	6.63	6.09	5.88	4.94
menghuo	4.03	6.72	6.31	6.86	6.34	6.17	6.08
zhurong	6.22	7.64	8.04	6.60	8.05	7.64	6.85
caocao	7.01	7.33	7.57	7.00	7.58	7.06	7.26
xiahoudun	6.87	7.60	7.12	7.24	7.12	7.00	6.89
xuchu	2.45	3.99	4.10	3.87	4.22	3.45	2.74
zhangliao	9.23	9.12	7.48	7.40	8.32	8.95	7.92
guojia	8.81	8.61	8.21	8.54	7.98	8.24	8.36
zhenji	7.37	7.30	7.65	7.79	6.68	6.61	6.85
simayi	8.42	8.56	7.55	7.51	6.81	7.09	7.83
xiahouyuan	8.15	6.10	5.56	4.64	5.35	6.12	7.87
caoren	8.00	5.87	7.54	7.92	6.07	5.98	6.95
dianwei	2.11	4.38	5.56	6.74	5.99	4.27	2.40
xunyu	8.19	7.89	7.71	7.03	6.75	7.79	7.94
caopi	7.97	7.28	6.64	7.45	7.75	6.44	6.77
xuhuang	4.89	7.19	9.98	7.46	9.89	7.19	4.47
sunquan	8.00	8.00	8.00	8.00	8.00	8.00	8.00
ganning	4.36	5.88	7.56	7.42	6.90	6.54	5.52
lvmeng	2.83	4.65	5.46	5.65	5.92	4.40	3.15
huanggai	2.80	3.13	4.06	3.77	3.18	2.97	2.38
zhouyu	5.71	6.64	6.05	6.00	6.13	5.82	4.89
luxun	6.02	7.18	6.64	7.57	6.71	6.16	5.71
sunshangxiang	8.70	8.14	7.28	6.85	5.89	6.71	7.95
daqiao	8.09	7.34	7.82	6.74	6.86	6.40	5.56
xiaoqiao	6.39	7.15	7.30	7.16	6.97	7.24	6.77
zhoutai	5.66	6.82	6.83	6.90	6.69	6.53	6.80
taishici	7.40	7.36	8.02	7.25	8.27	7.24	7.36
sunjian	6.28	6.14	6.35	6.78	6.27	6.12	5.69
lusu	7.41	7.08	7.35	6.91	7.06	6.96	6.08
huatuo	5.90	6.60	6.93	5.88	6.98	6.31	5.34
lvbu	3.31	6.19	6.43	6.18	6.44	6.24	6.03
diaochan	9.14	7.88	8.88	7.36	8.71	7.65	6.53
zhangjiao	4.62	5.83	6.54	6.53	6.33	5.49	4.45
pangde	7.77	7.42	7.25	6.87	7.38	6.84	6.88
yuanshao	4.94	6.02	4.94	4.95	5.01	5.85	6.86
shuangxiong	3.94	5.27	5.66	4.76	5.57	5.22	5.58
jiaxu	7.22	6.84	6.76	6.06	6.15	6.17	6.26
dongzhuo	5.47	6.41	6.75	7.00	6.90	6.73	6.46
caozhi	5.96	5.99	5.97	6.01	5.64	5.73	5.33
yujin	7.89	7.71	7.62	7.48	7.68	7.68	7.94
xushu	6.84	7.25	6.74	6.71	6.71	6.04	5.71
masu	6.38	6.40	6.52	5.43	5.52	5.67	6.62
fazheng	6.77	6.81	6.95	6.59	6.74	6.46	6.38
lingtong	3.97	6.03	5.54	6.46	5.38	5.63	5.92
xusheng	6.56	7.21	7.70	7.61	7.02	7.00	7.07
wuguotai	5.73	7.04	6.84	6.33	6.52	6.12	5.27
chengong	6.34	6.86	6.15	6.18	5.97	6.10	6.16
gaoshun	3.25	3.40	3.56	3.50	3.36	3.21	4.39
yuanshu	3.82	3.99	5.09	5.01	4.01	4.07	4.38
gongsunzan	7.63	7.75	7.38	7.36	7.57	7.63	7.97
