liubei	6.09	6.12	5.70	5.79	5.57	5.67	5.60
guanyu	6.65	6.52	6.56	6.48	6.51	6.40	6.46
zhangfei	2.22	2.17	2.25	2.21	2.27	2.26	2.24
zhaoyun	7.34	7.18	7.20	7.10	7.12	6.98	7.13
machao	5.94	5.94	5.98	5.85	5.87	5.77	5.71
zhugeliang	10.22	10.07	9.99	8.66	8.58	7.76	7.83
huangyueying	6.57	6.65	6.53	6.69	6.58	6.62	6.61
huangzhong	6.17	6.17	6.23	6.25	6.30	6.20	6.27
weiyan	6.87	7.53	7.69	8.20	7.64	7.54	6.97
wolong	7.33	7.59	7.41	7.45	7.33	7.36	7.12
pangtong	5.57	5.64	5.69	5.66	5.60	5.37	5.34
menghuo	7.42	7.36	7.48	7.46	7.44	7.27	7.36
zhurong	7.05	7.01	7.04	6.97	7.01	6.90	6.96
caocao	7.15	7.02	6.98	6.84	6.88	6.65	6.77
xiahoudun	7.26	7.40	7.39	7.45	7.35	7.31	7.30
xuchu	2.46	2.39	2.32	2.37	2.35	2.44	2.42
zhangliao	6.53	6.61	6.62	6.65	6.38	6.54	6.51
guojia	8.59	8.62	8.61	8.45	7.82	7.56	7.56
zhenji	7.80	7.72	6.96	6.82	6.84	6.81	6.12
simayi	8.06	8.17	7.53	7.54	7.50	6.74	6.76
xiahouyuan	5.09	5.10	5.03	5.11	5.10	5.23	5.21
caoren	8.24	8.34	8.48	8.37	8.37	8.37	8.32
dianwei	2.89	2.93	2.86	3.04	3.01	3.09	3.04
xunyu	7.27	7.41	6.66	6.52	5.77	5.66	5.60
caopi	7.94	7.80	7.06	7.01	6.26	6.22	6.35
xuhuang	7.56	7.68	7.56	7.65	7.56	7.65	7.57
sunquan	8.00	8.00	8.00	8.00	8.00	8.00	8.00
ganning	5.01	5.16	4.95	5.06	5.09	5.12	5.02
lvmeng	7.53	7.64	7.52	7.76	7.64	7.79	7.58
huanggai	2.42	2.56	2.51	2.50	2.51	2.42	2.32
zhouyu	5.90	5.87	5.76	5.67	5.53	5.28	5.25
luxun	7.54	7.49	7.53	7.40	7.33	6.49	6.44
sunshangxiang	8.02	8.05	7.92	7.98	7.83	7.75	7.62
daqiao	6.75	6.76	6.84	6.76	6.89	6.77	6.78
xiaoqiao	7.51	7.41	7.50	7.36	7.40	7.31	7.27
zhoutai	7.61	7.75	7.59	7.72	7.52	7.68	7.45
taishici	6.45	6.40	6.26	6.33	6.22	6.42	6.44
sunjian	5.98	6.15	5.82	5.97	5.74	5.83	5.70
lusu	5.97	5.99	5.81	5.80	5.67	4.91	4.83
huatuo	7.30	7.18	6.59	6.59	5.95	5.88	5.19
lvbu	5.39	5.35	5.37	5.26	5.26	5.21	5.21
diaochan	7.43	7.32	6.82	6.57	6.60	5.73	5.86
zhangjiao	6.63	6.36	6.41	6.25	6.38	5.39	5.49
pangde	6.42	6.56	6.51	6.56	6.54	6.49	6.38
yuanshao	6.23	6.11	5.96	5.96	5.96	5.85	5.94
shuangxiong	2.61	2.65	2.55	2.59	2.63	2.70	2.62
jiaxu	6.62	6.63	6.73	6.52	6.02	5.78	5.89
dongzhuo	8.40	8.44	7.55	7.84	7.65	7.93	7.98
caozhi	5.54	6.28	6.88	6.31	6.19	5.57	5.47
yujin	8.18	7.46	7.33	7.30	7.28	7.34	8.01
xushu	6.40	6.35	6.34	6.22	6.14	6.02	5.95
masu	6.66	6.89	7.65	7.01	7.55	6.80	6.66
fazheng	7.18	7.24	7.77	7.18	7.61	7.05	6.98
lingtong	5.48	5.82	5.55	5.92	5.55	5.93	5.73
xusheng	5.87	7.70	5.82	7.64	5.77	7.67	6.46
wuguotai	6.57	5.96	5.91	5.91	5.11	5.04	4.91
chengong	6.17	6.22	5.97	6.03	5.73	5.89	5.82
gaoshun	2.59	3.33	2.83	3.54	3.02	3.71	2.99
yuanshu	5.11	5.20	5.16	5.19	5.23	5.26	5.27
gongsunzan	8.50	7.81	7.66	7.67	7.60	7.62	8.31
